name,accuracy,precision0,recall0,precision1,recall1,balanced_accuracy,f1_score0,f1_score1,average_f1_score,fowlkes_mallows0,fowlkes_mallows1,markedness,mcc,jaccard_index,cohens_kappa
"RBFSVM(C=0.1), thr=0.2",0.7185185185185186,0.9111111111111111,0.5466666666666666,0.6222222222222222,0.9333333333333333,0.74,0.6833333333333333,0.7466666666666667,0.7150000000000001,0.7057436319755738,0.7620634755325443,0.7666666666666666,0.7529822128134703,0.5606936416184971,0.7285714285714286
"RBFSVM(C=1), thr=0.2",0.7407407407407407,0.8773584905660378,0.62,0.6524390243902439,0.8916666666666667,0.7558333333333334,0.7265625,0.7535211267605634,0.7400418133802817,0.7375379747178741,0.7627307061350689,0.7648987574781408,0.7603265874271989,0.5882352941176471,0.7467845659163987
"RBFSVM(C=2), thr=0.2",0.7555555555555555,0.8962264150943396,0.6333333333333333,0.6646341463414634,0.9083333333333333,0.7708333333333333,0.7421875,0.7676056338028169,0.7548965669014085,0.7533990064322369,0.776987354847874,0.7804302807179015,0.7755900355499663,0.6071428571428571,0.7612540192926045
"RBFSVM(C=4), thr=0.2",0.7407407407407407,0.8921568627450981,0.6066666666666667,0.6488095238095238,0.9083333333333333,0.7575000000000001,0.7222222222222222,0.7569444444444444,0.7395833333333333,0.7356913959435434,0.7676817813784026,0.770483193277311,0.7639117698567224,0.5882352941176471,0.7475961538461539
"RBFSVM(C=8), thr=0.2",0.7074074074074074,0.8585858585858586,0.5666666666666667,0.6198830409356725,0.8833333333333333,0.725,0.6827309236947792,0.7285223367697594,0.7056266302322693,0.6975184488828855,0.7399752379819954,0.7392344497607655,0.7320080843336547,0.5472779369627507,0.7158273381294964
"RBFSVM(C=0.01), thr=0.5",0.7925925925925926,0.8615384615384616,0.7466666666666667,0.7285714285714285,0.85,0.7983333333333333,0.8,0.7846153846153846,0.7923076923076924,0.8020486589241649,0.7869470848066688,0.7950549450549451,0.7966896109989787,0.656441717791411,0.7934426229508197
"RBFSVM(C=0.1), thr=0.5",0.8148148148148148,0.8246753246753247,0.8466666666666667,0.8017241379310345,0.775,0.8108333333333333,0.8355263157894737,0.788135593220339,0.8118309545049063,0.8355986525989066,0.7882488229591921,0.8131997313031796,0.8120142889036841,0.6875,0.8118729096989966
"RBFSVM(C=1), thr=0.5",0.8333333333333334,0.8343949044585988,0.8733333333333333,0.831858407079646,0.7833333333333333,0.8283333333333334,0.8534201954397395,0.8068669527896996,0.8301435741147195,0.8536421283109077,0.8072313292229533,0.8331266557691224,0.8307213106391269,0.7142857142857143,0.8302598491198658
"RBFSVM(C=2), thr=0.5",0.8333333333333334,0.8387096774193549,0.8666666666666667,0.8260869565217391,0.7916666666666666,0.8291666666666666,0.8524590163934426,0.8085106382978723,0.8304848273456574,0.8525735865191388,0.8086937042208112,0.832398316970547,0.8307785452577072,0.7142857142857143,0.8305439330543933
"RBFSVM(C=4), thr=0.5",0.8148148148148148,0.8205128205128205,0.8533333333333334,0.8070175438596491,0.7666666666666667,0.81,0.8366013071895425,0.7863247863247863,0.8114630467571644,0.8367621765895852,0.7865834032652848,0.8137651821862348,0.8118769091768944,0.6875,0.8115577889447236
"RBFSVM(C=8), thr=0.5",0.7777777777777778,0.78125,0.8333333333333334,0.7727272727272727,0.7083333333333334,0.7708333333333334,0.8064516129032258,0.7391304347826086,0.7727910238429172,0.8068715304598786,0.7398300378117159,0.7769886363636364,0.7738936941256921,0.6363636363636364,0.773109243697479
"RBFSVM(C=0.01), thr=0.8",0.825925925925926,0.7909604519774012,0.9333333333333333,0.8924731182795699,0.6916666666666667,0.8125,0.8562691131498471,0.7793427230046949,0.817805918077271,0.8592029767051018,0.7856805373751063,0.8417167851284855,0.8267820303392641,0.7034700315457413,0.8196930946291561
"RBFSVM(C=0.1), thr=0.8",0.7888888888888889,0.7384615384615385,0.96,0.92,0.575,0.7675,0.8347826086956521,0.7076923076923077,0.7712374581939799,0.8419756985347481,0.7273238618387272,0.8292307692307692,0.7967646049804975,0.6513761467889908,0.7779220779220779
"RBFSVM(C=1), thr=0.8",0.7703703703703704,0.72,0.96,0.9142857142857143,0.5333333333333333,0.7466666666666666,0.8228571428571428,0.6736842105263158,0.7482706766917293,0.8313843876330611,0.6982972487551756,0.8171428571428572,0.7796937100268282,0.6265060240963856,0.7573913043478261
"RBFSVM(C=2), thr=0.8",0.7592592592592593,0.7114427860696517,0.9533333333333334,0.8985507246376812,0.5166666666666667,0.7350000000000001,0.8148148148148148,0.656084656084656,0.7354497354497354,0.8235545657208967,0.68135982250898,0.8049967553536664,0.7677204465634099,0.6119402985074627,0.7454308093994778
"RBFSVM(C=4), thr=0.8",0.7444444444444445,0.6956521739130435,0.96,0.9047619047619048,0.475,0.7175,0.8067226890756303,0.6229508196721312,0.7148367543738807,0.8172062695283986,0.6555622813752365,0.8002070393374741,0.7555289241082125,0.5929203539823009,0.7283464566929134
"RBFSVM(C=8), thr=0.8",0.7111111111111111,0.6651376146788991,0.9666666666666667,0.9038461538461539,0.39166666666666666,0.6791666666666667,0.7880434782608695,0.5465116279069767,0.6672775530839231,0.80185183223353,0.5949843781616542,0.7844918842625265,0.7257686040994983,0.5517241379310345,0.6899293286219081
